NO.	ANG	POL	book_unit_lesson	part_of_speech	audio
1	a few	kilka	BG1_U1_L1	Słownictwo ogólne	1
2	agree	zgadzać się	BG1_U1_L1	Słownictwo ogólne	1
3	also	również	BG1_U1_L1	Słownictwo ogólne	1
4	age	wiek	BG1_U1_L1	Słownictwo ogólne	1
5	but	ale	BG1_U1_L1	Słownictwo ogólne	1
6	chat with	rozmawiać z	BG1_U1_L1	Słownictwo ogólne	1
7	enjoy	lubić	BG1_U1_L1	Słownictwo ogólne	1
8	especially	szczególnie	BG1_U1_L1	Słownictwo ogólne	1
9	famous	sławny	BG1_U1_L1	Słownictwo ogólne	1
10	forest	las	BG1_U1_L1	Słownictwo ogólne	1
11	I would like	chciałbym	BG1_U1_L1	Słownictwo ogólne	1
12	IT worker	informatyk	BG1_U1_L1	Słownictwo ogólne	1
13	in the future	w przyszłości	BG1_U1_L1	Słownictwo ogólne	1
14	interview	wywiad	BG1_U1_L1	Słownictwo ogólne	1
15	introduce somebody	przedstawić kogoś	BG1_U1_L1	Słownictwo ogólne	1
16	lifestyle	styl życia	BG1_U1_L1	Słownictwo ogólne	1
17	near	blisko	BG1_U1_L1	Słownictwo ogólne	1
18	originally	pierwotnie,oryginalnie	BG1_U1_L1	Słownictwo ogólne	1
19	passion	pasja	BG1_U1_L1	Słownictwo ogólne	1
20	politician	polityk	BG1_U1_L1	Słownictwo ogólne	1
21	question	pytanie	BG1_U1_L1	Słownictwo ogólne	1
22	success	sukces	BG1_U1_L1	Słownictwo ogólne	1
23	subject	przedmiot szkolny	BG1_U1_L1	Słownictwo ogólne	1
24	take part	brać udział	BG1_U1_L1	Słownictwo ogólne	1
25	teach	uczyć kogoś	BG1_U1_L1	Słownictwo ogólne	1
26	technology	technologia	BG1_U1_L1	Słownictwo ogólne	1
27	too	również	BG1_U1_L1	Słownictwo ogólne	1
28	twice a week	dwa razy w tygodniu	BG1_U1_L1	Słownictwo ogólne	1
29	volunteer	ochotnik	BG1_U1_L1	Słownictwo ogólne	1
30	welcome	witaj	BG1_U1_L1	Słownictwo ogólne	1
31	what else?	co jeszcze	BG1_U1_L1	Słownictwo ogólne	1
32	active	aktywny	BG1_U1_L1	Przymiotniki	1
33	ambitious	ambitny	BG1_U1_L1	Przymiotniki	1
34	bad	zły	BG1_U1_L1	Przymiotniki	1
35	bored	znudzony	BG1_U1_L1	Przymiotniki	1
36	boring	nudny	BG1_U1_L1	Przymiotniki	1
37	cute	słodki	BG1_U1_L1	Przymiotniki	1
38	difficult	trudny	BG1_U1_L1	Przymiotniki	1
39	early	wczesny wcześnie	BG1_U1_L1	Przymiotniki	1
40	easy	łatwy	BG1_U1_L1	Przymiotniki	1
41	enthusiastic	entuzjastyczny	BG1_U1_L1	Przymiotniki	1
42	good	dobry	BG1_U1_L1	Przymiotniki	1
43	great	świetny	BG1_U1_L1	Przymiotniki	1
44	happy	szczęśliwy	BG1_U1_L1	Przymiotniki	1
45	hard-working	pracowity	BG1_U1_L1	Przymiotniki	1
46	intelligent	inteligentny	BG1_U1_L1	Przymiotniki	1
47	interesting	interesujący	BG1_U1_L1	Przymiotniki	1
48	lazy	leniwy	BG1_U1_L1	Przymiotniki	1
49	local	lokalny, miejscowy	BG1_U1_L1	Przymiotniki	1
50	noisy	hałaśliwy	BG1_U1_L1	Przymiotniki	1
51	slow	wolny	BG1_U1_L1	Przymiotniki	1
52	stressful	stresujący	BG1_U1_L1	Przymiotniki	1
53	stupid	głupi	BG1_U1_L1	Przymiotniki	1
54	surprised	zdziwiony	BG1_U1_L1	Przymiotniki	1
55	alone	sam	BG1_U1_L2	Przymiotniki	1
56	angry	zły	BG1_U1_L2	Przymiotniki	1
57	attractive	atrakcyjny	BG1_U1_L2	Przymiotniki	1
58	comfortable	wygodny	BG1_U1_L2	Przymiotniki	1
59	delicious	pyszny	BG1_U1_L2	Przymiotniki	 
60	early	wczesny, wcześnie	BG1_U1_L2	Przymiotniki	0
61	exciting	ekscytujący	BG1_U1_L2	Przymiotniki	0
62	friendly	przyjacielski	BG1_U1_L2	Przymiotniki	0
63	healthy	zdrowy	BG1_U1_L2	Przymiotniki	0
64	interested	zainteresowany	BG1_U1_L2	Przymiotniki	0
65	late	późno, późny	BG1_U1_L2	Przymiotniki	0
66	lazy	leniwy	BG1_U1_L2	Przymiotniki	0
67	lucky	szczęśliwy	BG1_U1_L2	Przymiotniki	0
68	modern	nowoczesny	BG1_U1_L2	Przymiotniki	0
69	nice	miły	BG1_U1_L2	Przymiotniki	0
70	similar	podobny	BG1_U1_L2	Przymiotniki	0
71	tasty	smaczny	BG1_U1_L2	Przymiotniki	0
72	worried	zmartwiony	BG1_U1_L2	Przymiotniki	0
73	all	wszystko	BG1_U1_L2	Słownictwo ogólne	0
74	anymore	już nie	BG1_U1_L2	Słownictwo ogólne	0
75	art	sztuka	BG1_U1_L2	Słownictwo ogólne	0
76	at the seaside	nad morzem	BG1_U1_L2	Słownictwo ogólne	0
77	basketball	koszykówka	BG1_U1_L2	Słownictwo ogólne	0
78	beef	wołowina	BG1_U1_L2	Słownictwo ogólne	0
79	biology	biologia	BG1_U1_L2	Słownictwo ogólne	0
80	camp	obóz	BG1_U1_L2	Słownictwo ogólne	0
81	cheese	ser	BG1_U1_L2	Słownictwo ogólne	0
82	chemistry	chemia	BG1_U1_L2	Słownictwo ogólne	0
83	cool	fajny	BG1_U1_L2	Słownictwo ogólne	0
84	cost	kosztować	BG1_U1_L2	Słownictwo ogólne	0
85	during	podczas	BG1_U1_L2	Słownictwo ogólne	0
86	equipment	sprzęt	BG1_U1_L2	Słownictwo ogólne	0
87	everything	wszystko	BG1_U1_L2	Słownictwo ogólne	0
88	fun	dobra zabawa	BG1_U1_L2	Słownictwo ogólne	0
89	lake	jezioro	BG1_U1_L2	Słownictwo ogólne	0
90	lettuce	sałata	BG1_U1_L2	Słownictwo ogólne	0
91	mountains	góry	BG1_U1_L2	Słownictwo ogólne	0
92	near	blisko	BG1_U1_L2	Słownictwo ogólne	0
93	offer	oferować, oferta	BG1_U1_L2	Słownictwo ogólne	0
94	onion	cebula	BG1_U1_L2	Słownictwo ogólne	0
95	pasta	makaron	BG1_U1_L2	Słownictwo ogólne	0
96	potatoes	ziemniaki	BG1_U1_L2	Słownictwo ogólne	0
97	postcard	pocztówka	BG1_U1_L2	Słownictwo ogólne	0
98	rice	ryż	BG1_U1_L2	Słownictwo ogólne	0
99	sandwich	kanapka	BG1_U1_L2	Słownictwo ogólne	0
100	sky	niebo	BG1_U1_L2	Słownictwo ogólne	0
101	the best	najlepszy	BG1_U1_L2	Słownictwo ogólne	0
102	volleyball	siatkówka	BG1_U1_L2	Słownictwo ogólne	0
103	weather	pogoda	BG1_U1_L2	Słownictwo ogólne	0
104	what's up?	co słychać?	BG1_U1_L2	Słownictwo ogólne	0
105	anyway	tak czy inaczej	BG1_U1_L3	Słownictwo ogólne	0
106	backpack	plecak	BG1_U1_L3	Słownictwo ogólne	0
107	be on a diet	być na diecie	BG1_U1_L3	Słownictwo ogólne	0
108	big	duży	BG1_U1_L3	Słownictwo ogólne	0
109	birthday wishes	życzenia urodzinowe	BG1_U1_L3	Słownictwo ogólne	0
110	giraffe	żyrafa	BG1_U1_L3	Słownictwo ogólne	0
111	give me a clue	podpowiedz mi	BG1_U1_L3	Słownictwo ogólne	0
112	gold	złoto	BG1_U1_L3	Słownictwo ogólne	0
113	hint	podpowiedź	BG1_U1_L3	Słownictwo ogólne	0
114	hospital	szpital	BG1_U1_L3	Słownictwo ogólne	0
115	it's my go	moja kolej	BG1_U1_L3	Słownictwo ogólne	0
116	it's your turn	twoja kolej	BG1_U1_L3	Słownictwo ogólne	0
117	jewellery	biżuteria	BG1_U1_L3	Słownictwo ogólne	0
118	make a mistake	zrobić błąd	BG1_U1_L3	Słownictwo ogólne	0
119	my turn	moja kolej	BG1_U1_L3	Słownictwo ogólne	0
120	neck	szyja	BG1_U1_L3	Słownictwo ogólne	0
121	never mind	nie ma znaczenia	BG1_U1_L3	Słownictwo ogólne	0
122	parrot	papuga	BG1_U1_L3	Słownictwo ogólne	0
123	pillow	poduszka	BG1_U1_L3	Słownictwo ogólne	0
124	quite	całkiem, dość	BG1_U1_L3	Słownictwo ogólne	0
125	rich	bogaty	BG1_U1_L3	Słownictwo ogólne	0
126	rubber	guma, gumka	BG1_U1_L3	Słownictwo ogólne	0
127	Shall I	Czy mam ...?	BG1_U1_L3	Słownictwo ogólne	0
128	silver	srebro	BG1_U1_L3	Słownictwo ogólne	0
129	small	mały	BG1_U1_L3	Słownictwo ogólne	0
130	something	coś	BG1_U1_L3	Słownictwo ogólne	0
131	strange	dziwny	BG1_U1_L3	Słownictwo ogólne	0
132	tall	wysoki	BG1_U1_L3	Słownictwo ogólne	0
133	use	używać	BG1_U1_L3	Słownictwo ogólne	0
134	you don't have to buy me	nie musisz mi kupować .....	BG1_U1_L3	Słownictwo ogólne	0
135	arrive late	spóźnić się	BG1_U1_L4	Słownictwo ogólne	0
136	broken heart	złamane serce	BG1_U1_L4	Słownictwo ogólne	0
137	busy	zajęty, zapracowany	BG1_U1_L4	Słownictwo ogólne	0
138	catch a bus	złapać autobus	BG1_U1_L4	Słownictwo ogólne	0
139	classmate	kolega/koleżanka z klasy	BG1_U1_L4	Słownictwo ogólne	0
140	colleague	kolega	BG1_U1_L4	Słownictwo ogólne	0
141	customer	klient	BG1_U1_L4	Słownictwo ogólne	0
142	especially	szczególnie	BG1_U1_L4	Słownictwo ogólne	0
143	foreign language	język obcy	BG1_U1_L4	Słownictwo ogólne	0
144	high school	liceum	BG1_U1_L4	Słownictwo ogólne	0
145	irritating	irytujący	BG1_U1_L4	Słownictwo ogólne	0
146	law	prawo	BG1_U1_L4	Słownictwo ogólne	0
147	midnight	północ	BG1_U1_L4	Słownictwo ogólne	0
148	miss the bus	przegapić autobus	BG1_U1_L4	Słownictwo ogólne	0
149	pocket money	kieszonkowe	BG1_U1_L4	Słownictwo ogólne	0
150	print	drukować	BG1_U1_L4	Słownictwo ogólne	0
151	printer	drukarka	BG1_U1_L4	Słownictwo ogólne	0
152	repair	naprawić, naprawa	BG1_U1_L4	Słownictwo ogólne	0
153	shout at somebody	krzyczeć na kogoś	BG1_U1_L4	Słownictwo ogólne	0
154	souvenir	sklep z pamiątkami	BG1_U1_L4	Słownictwo ogólne	0
155	teenager	nastolatek	BG1_U1_L4	Słownictwo ogólne	0
156	ticket	bilet	BG1_U1_L4	Słownictwo ogólne	0
157	too	też, również	BG1_U1_L4	Słownictwo ogólne	0
158	volleyball	siatkówka	BG1_U1_L4	Słownictwo ogólne	0
159	wash the dishes	zmywać naczynia	BG1_U1_L4	Słownictwo ogólne	0
160	what's the matter?	co się stało?	BG1_U1_L4	Słownictwo ogólne	0
161	always	zawsze	BG1_U1_L4	Przysłówki częstotliwości	0
162	never	nigdy	BG1_U1_L4	Przysłówki częstotliwości	0
163	often	często	BG1_U1_L4	Przysłówki częstotliwości	0
164	once	raz	BG1_U1_L4	Przysłówki częstotliwości	0
